USERID,Timestamp,Age,Industry,Job title,Salary,Compensation,Currency,Country,State,City,Overall years of experience,Years of experience in current job,Education level,Gender
8683,4/27/2021 11:02:10,25-34,Education (Higher Education),Research and Instruction Librarian,55000,0,USD,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman
3880,4/27/2021 11:02:41,25-34,Nonprofits,Program Manager,62000,3000,USD,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman
8898,4/27/2021 11:02:42,25-34,"Accounting, Banking & Finance",Accounting Manager,60000,7000,USD,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman
4441,4/27/2021 11:03:01,45-54,Computing or Tech,Systems Analyst,112000,10000,USD,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman
7537,4/27/2021 11:03:02,35-44,"Accounting, Banking & Finance",Senior Accountant,45000,0,USD,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman
12007,4/27/2021 11:03:07,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,0,USD,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman
4463,4/27/2021 11:03:09,35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,0,USD,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man
763,4/27/2021 11:03:13,35-44,Business or Consulting,Executive Assistant,85000,5000,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman
10990,4/27/2021 11:03:21,35-44,Business or Consulting,Senior Manager,98000,1000,USD,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman
1101,4/27/2021 11:03:24,25-34,Health care,Data Programmer Analyst,74000,0,USD,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman
13036,4/27/2021 11:03:29,35-44,Government and Public Administration,Researcher,96000,1000,USD,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman
