USERID,CGPA,Salary_month_USD,Special Bonus_GBP
8683,2.990626889,4583.333333,2437
3880,2.288131042,5166.666667,740
8898,3.903323568,5000,3806
4441,2.470851745,9333.333333,4691
7537,3.559457479,3750,4580
12007,2.326334087,5166.666667,3512
4463,3.261069814,8333.333333,4790
763,3.619165906,7083.333333,233
10990,3.904039211,8166.666667,4862
1101,2.814663274,6166.666667,1670
13036,3.378355027,8000,3296
7571,2.250717348,5000,1879
12074,2.20121366,4000,3037
10514,3.824140598,10416.66667,2901
10512,3.409749033,9166.666667,3779
8375,2.823438172,5666.666667,1750
9356,2.411402993,3416.666667,2796
4109,2.482308044,6333.333333,61
4171,3.265949302,6500,4133
7672,2.750740951,5416.666667,4059
4004,2.705749943,9166.666667,427
2466,2.80993341,5552.083333,54
11777,2.417942086,12050,3867
6006,3.645909246,4416.666667,1264
4384,3.156006398,7916.666667,466
4468,3.023112484,6000,4983
6370,2.898178223,8833.333333,4223
8772,3.24963949,8375,786
13378,3.063841113,8666.666667,186
3000,2.39660256,5833.333333,2599
7659,3.451465248,7000,4613
4412,3.027484756,4416.666667,3752
7593,3.177093282,7250,365
2107,3.851665604,5916.666667,948
11377,3.361175261,6250,3864
9035,2.559217125,6666.666667,1104
2503,3.536250317,7500,889
5993,3.046538708,8750,86
6390,2.624859848,5416.666667,4114
4692,3.358676817,7083.333333,468
3584,2.208901891,6333.333333,4781
10143,2.816643536,7500,1424
10626,2.20696749,5416.666667,852
10085,2.305737905,8180.5,2595
11420,2.006812509,3975,742
9830,3.902933697,7250,224
13028,2.329745577,3302.916667,2367
7632,2.217399918,3937.916667,2137
9131,3.194175647,12500,4668
4934,2.492798054,6250,623
4373,3.189038297,8935,2759
12847,2.258662074,7916.666667,861
3036,2.329367092,8333.333333,361
10300,2.5762977,9916.666667,2115
9028,2.573113809,12083.33333,4220
3225,2.757970225,4000,1734
2603,2.191230962,6250,3373
1212,2.091816066,3500,3922
12196,2.050033906,4500,2597
7449,2.876932311,5000,1706
10762,2.747502414,8458.333333,3493
3790,3.349708976,7083.333333,123
9862,2.822357932,5166.666667,759
2844,3.661391409,5916.666667,947
7859,2.166701301,5250,839
